EmployeeID,Age,Gender,Country,JobRole,Department,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk
1001,50,Male,UK,Sales Associate,HR,14,47,No,3.37,5.06,9.47,4.16,7.0,7.9,117,No,3.15,Yes,8,40K-60K,8.82,6,9.2,0
1002,36,Male,Germany,Software Engineer,IT,1,59,Hybrid,7.39,2.0,5.65,3.74,7.2,9.0,8,Yes,4.4,Yes,4,80K-100K,2.8,45,8.46,1
1003,29,Non-binary,India,IT Admin,IT,13,59,Hybrid,7.1,7.17,5.7,8.8,5.2,9.7,75,No,3.63,No,6,80K-100K,7.28,7,7.96,1
1004,42,Male,Australia,HR Specialist,IT,15,31,Yes,4.18,3.76,6.4,4.69,8.7,5.8,43,Yes,4.5,Yes,9,60K-80K,1.31,11,8.9,0
1005,40,Male,Brazil,Customer Support,Support,6,34,Yes,8.28,2.34,3.41,2.12,4.2,3.3,58,Yes,5.51,Yes,6,<40K,1.17,18,8.88,1
1006,44,Prefer not to say,Germany,Project Manager,Support,3,58,Hybrid,3.12,4.81,4.45,1.09,8.5,3.2,23,Yes,2.56,No,6,40K-60K,5.06,38,4.32,0
1007,32,Prefer not to say,USA,Software Engineer,Engineering,17,30,Hybrid,5.15,9.68,5.98,7.5,5.9,3.8,62,No,4.54,Yes,9,100K+,6.91,12,9.76,0
1008,32,Male,Canada,Customer Support,Marketing,4,39,No,5.25,4.7,9.48,7.43,7.6,6.1,77,Yes,4.47,No,3,80K-100K,2.28,22,7.38,0
1009,45,Prefer not to say,Canada,Marketing Manager,Sales,5,49,Hybrid,4.07,4.13,6.78,4.76,7.3,4.9,112,No,3.57,No,3,80K-100K,7.87,3,4.33,0
1010,57,Prefer not to say,Brazil,Software Engineer,Engineering,6,59,Hybrid,9.59,5.0,4.0,2.14,4.8,6.5,40,Yes,9.99,No,2,60K-80K,2.16,19,4.98,1
1011,45,Male,Germany,Sales Associate,Sales,14,39,Yes,7.27,1.11,1.09,4.34,5.6,0.4,75,No,1.66,No,3,80K-100K,5.8,43,7.18,1
